,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
2269,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6038419,True,384900,2023,3/2023,2000,496,77.0,299,6.2,Sort,True
2307,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6061228,True,359900,2023,3/2023,100,479,77.0,299,6.2,Sort,True
2412,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6150531,True,299900,2023,4/2023,8000,531,82.0,174,10.4,Hvidmetal,False
2436,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6142909,True,419800,2023,4/2023,50,479,77.0,299,6.2,Hvidmetal,True
2478,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5840091,True,468800,2023,6/2023,4000,496,77.0,299,6.2,Hvidmetal,True
2574,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6049958,True,349900,2021,3/2021,7000,506,77.0,204,8.5,Guldmetal,False
2624,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6132660,True,324700,2023,6/2023,8000,531,76.6,204,8.5,Hvidmetal,False
2633,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6047379,True,357900,2023,6/2023,4200,479,77.0,299,6.2,Hvid,True
2718,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6139338,True,289900,2023,6/2023,8000,531,77.0,174,10.4,Hvidmetal,False
2805,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5978746,True,369900,2023,12/2022,8000,517,77.0,204,8.5,Hvid,False
2844,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5996450,True,319900,2023,12/2022,7000,517,77.0,204,8.5,Grå,False
2909,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5966312,True,339800,2022,2/2022,6000,484,77.0,299,6.2,Hvid,True
2911,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137670,True,304900,2023,12/2022,4000,531,76.6,204,8.5,Grå,False
3012,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6134246,True,285000,2021,12/2020,28000,517,76.6,204,8.5,Hvidmetal,False
3022,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6155480,True,259900,2021,4/2021,42000,490,76.6,204,8.5,Blåmetal,False
3032,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6144961,True,324800,2022,10/2021,30000,506,76.6,204,8.5,Hvidmetal,False
3037,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6134705,True,269900,2021,4/2021,40000,499,76.6,204,8.5,Blå,False
3069,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6070043,True,229900,2021,10/2021,35000,340,52.0,148,10.9,Grå,False
3100,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6118869,True,284900,2021,3/2021,24000,490,76.6,204,8.5,Blåmetal,False
3101,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6056867,True,219800,2022,11/2021,24000,343,52.0,148,10.9,Grå,False
3109,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6120737,True,269900,2021,4/2021,32000,490,76.6,204,8.5,Gulmetal,False
3126,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158600,True,254900,2022,10/2022,35000,514,76.6,204,8.5,Grå,False
3131,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6074195,True,239900,2023,11/2022,25000,343,52.0,148,10.9,Grå,False
3141,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6134921,True,319000,2023,3/2023,35000,495,76.6,299,6.2,Rødmetal,True
3142,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6127785,True,279800,2021,12/2020,28000,490,76.6,204,8.5,Hvid,False
3150,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6152345,True,224900,2022,12/2021,27000,343,52.0,170,9.0,Koksmetal,False
3152,https://www.bilbasen.dk/brugt/bil/vw/id4/city-performance-5d/6121425,True,244800,2022,2/2022,29000,343,52.0,170,9.0,Grå,False
3156,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5964728,True,359700,2021,6/2021,42000,479,77.0,299,6.2,Hvidmetal,True
3187,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6141206,True,324900,2022,12/2022,24000,514,76.6,204,8.5,Blåmetal,False
3193,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6123936,True,214900,2022,10/2021,27000,343,52.0,148,10.9,Grå,False
3207,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6150056,True,274900,2021,12/2020,29000,490,76.6,204,8.5,Hvidmetal,False
3232,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6130919,True,269900,2021,4/2021,49000,490,77.0,204,8.5,Grå,False
3233,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6069728,True,329900,2021,12/2020,24000,490,77.0,204,8.5,Hvidmetal,False
3266,https://www.bilbasen.dk/brugt/bil/vw/id4/tech-performance-5d/6108434,True,309999,2022,12/2021,37000,507,76.6,204,8.5,Blåmetal,False
3267,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6147352,True,299995,2022,2/2022,25000,476,76.6,299,6.2,Hvidmetal,True
3287,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6057781,True,224900,2022,11/2021,29000,343,52.0,170,9.0,Grå,False
3288,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/5976503,True,289900,2021,7/2021,34000,497,77.0,204,8.5,Koks,False
3302,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6117959,True,274900,2021,12/2020,36000,490,76.6,204,8.5,Blåmetal,False
