Link,Dealer_Private,Vehicle_type,Make,Model,Price_kr,Model_year,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_0-100km/h_secs.,Trailer_hitch,Color,Drive_type
https://www.bilbasen.dk/brugt/bil/fiat/500e/comfort-pack-cabrio-2d/6091224,True,Mikro,Fiat,500E,197800,2024,100,301.0,42.0,118,9.0,False,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/jeep/avenger/54-summit-5d/5992850,True,SUV,Jeep,AVENGER,314800,2023,2000,395.0,54.0,156,9.0,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-performance-gt-line-awd-5d/5977215,True,Halvkombi,Kia,EV6,508899,2024,0,484.0,77.4,325,5.4,True,Rød,AWD
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/73-advanced-5d/6065042,True,Halvkombi,Hyundai,IONIQ-5,364900,2022,2500,507.0,77.4,217,7.4,True,Grøn,RWD
https://www.bilbasen.dk/brugt/bil/bmw/ix/xdrive40-super-charged-5d/6108202,True,SUV,Bmw,IX,569900,2023,7000,399.0,72.0,326,6.1,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158388,True,CUV,Vw,ID4,299500,2023,0,514.0,76.6,204,8.5,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqa350/amg-line-4matic-5d/6148313,True,CUV,Mercedes,EQA350,459800,2023,3500,415.0,66.5,292,6.0,True,Grå,AWD
https://www.bilbasen.dk/brugt/bil/bmw/ix/xdrive40-fully-charged-5d/5939923,True,SUV,Bmw,IX,549000,2022,8000,425.0,76.6,326,6.1,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/mg/5/luxury-5d/6014426,True,St.car,Mg,5,249800,2023,0,380.0,61.1,156,8.3,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/skoda/enyaq/80x-iv-plus-5d/5901128,True,CUV,Skoda,ENYAQ,394000,2023,0,493.0,82.0,265,6.9,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/peugeot/e-traveller/50-l2-business/5489423,True,MPV,Peugeot,E-TRAVELLER,339800,2021,3000,316.0,50.0,136,8.7,False,Other,FWD
https://www.bilbasen.dk/brugt/bil/mg/zs/70-comfort-5d/6153146,True,CUV,Mg,ZS,234800,2023,0,440.0,68.3,156,8.6,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-gt-performance-awd-5d/5820027,True,Halvkombi,Kia,EV6,572699,2023,0,400.0,77.4,585,3.5,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156058,True,CUV,Vw,ID4,289900,2023,7000,531.0,77.0,174,10.4,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/cupra/born/58-high-5d/6153896,True,Halvkombi,Cupra,BORN,249900,2022,6200,421.0,58.0,204,7.3,False,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/volvo/xc40/p8-recharge-ultimate-5d/6144415,True,SUV,Volvo,XC40,419500,2023,3500,418.0,78.0,408,4.9,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/fiat/500e/comfort-pack-cabrio-2d/6119471,True,Mikro,Fiat,500E,214000,2024,50,326.0,37.3,118,9.0,False,Sort,FWD
https://www.bilbasen.dk/brugt/bil/aiways/u5/premium-5d/6134390,True,SUV,Aiways,U5,264800,2023,100,400.0,63.0,204,7.5,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/cupra/born/58-e-boost-5d/6099119,True,Halvkombi,Cupra,BORN,269800,2023,0,416.0,62.0,231,6.6,False,Grå,RWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-performance-gt-line-awd-5d/6086969,True,Halvkombi,Kia,EV6,449900,2023,6000,484.0,77.0,325,5.4,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqc400/amg-4matic-5d/6031367,True,SUV,Mercedes,EQC400,589900,2023,5000,429.0,80.0,408,5.1,True,Grå,AWD
https://www.bilbasen.dk/brugt/bil/opel/mokka-e/50-elegance-5d/6116009,True,CUV,Opel,MOKKA-E,199900,2023,0,338.0,45.0,136,9.0,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/bmw/i3/comfort-advanced-5d/6091396,True,Halvkombi,Bmw,I3,192700,2022,8000,310.0,37.9,170,7.3,False,Sort,RWD
https://www.bilbasen.dk/brugt/bil/tesla/model-3/rwd-4d/6153840,True,Sedan,Tesla,MODEL-3,329900,2024,6000,513.0,54.0,283,6.1,True,Blå,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqb300/amg-line-4matic-7prs-5d/6155850,True,SUV,Mercedes,EQB300,429900,2023,8000,406.0,66.5,228,8.0,False,Sort,AWD
https://www.bilbasen.dk/brugt/bil/kia/niro/64-ev-prestige-5d/6143983,True,CUV,Kia,NIRO,289800,2023,7000,460.0,64.8,204,7.8,True,Sort,FWD
https://www.bilbasen.dk/brugt/bil/volvo/xc40/recharge-extended-range-plus-5d/6155303,True,SUV,Volvo,XC40,410000,2024,1500,571.0,82.0,252,7.3,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/ford/mustang-mach-e/standard-range-awd-5d/6154623,True,CUV,Ford,MUSTANG-MACH-E,349500,2023,6600,400.0,68.0,269,6.3,True,Rød,AWD
https://www.bilbasen.dk/brugt/bil/lotus/eletre/r-5d/6015950,True,SUV,Lotus,ELETRE,2238000,2024,0,500.0,107.0,905,2.9,True,Other,AWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/amg-edition-5d/6149951,True,SUV,Mercedes,EQB250,385900,2023,6000,499.0,70.5,190,9.2,False,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/77-advanced-5d/6067629,True,Halvkombi,Hyundai,IONIQ-5,359800,2023,3500,507.0,77.4,229,7.4,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/maxus/et90/88-pick-up-4d/5933142,True,SUV,Maxus,ET90,575000,2022,0,330.0,88.6,177,3.96,True,Beige,RWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-upgrade-5d/6048279,True,Halvkombi,Kia,EV6,408000,2024,0,528.0,77.4,229,7.5,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/opel/astra-e/54-blue-limited-5d/6147773,True,Halvkombi,Opel,ASTRA-E,319000,2024,0,412.0,54.0,156,9.8,False,Blå,FWD
https://www.bilbasen.dk/brugt/bil/nissan/leaf/39-n-connecta-5d/6121346,True,Halvkombi,Nissan,LEAF,189900,2024,0,278.0,39.0,147,7.9,False,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-performance-awd-5d/5974346,True,Halvkombi,Kia,EV6,389900,2022,7000,506.0,77.4,325,5.4,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/cupra/born/77-e-boost-5d/6046615,True,Halvkombi,Cupra,BORN,299900,2023,3000,544.0,77.0,231,7.0,False,Other,RWD
https://www.bilbasen.dk/brugt/bil/peugeot/e-208/50-gt-sky-5d/6105042,True,Halvkombi,Peugeot,E-208,229900,2023,100,336.0,50.0,136,8.1,False,Sort,FWD
https://www.bilbasen.dk/brugt/bil/kia/niro/64-ev-prestige-5d/6000910,True,CUV,Kia,NIRO,308500,2023,3000,460.0,64.8,204,7.8,True,Grå,FWD
https://www.bilbasen.dk/brugt/bil/skoda/enyaq/85-iv-lk-coup-5d/6078105,True,CUV,Skoda,ENYAQ,459900,2024,6000,552.0,77.0,286,6.7,True,Grå,RWD
https://www.bilbasen.dk/brugt/bil/volvo/c40/p6-recharge-ultimate-5d/6140126,True,CUV,Volvo,C40,359900,2023,8000,418.0,69.0,231,7.4,True,Sort,FWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqe350/amg-line-4d/5845896,True,Sedan,Mercedes,EQE350,579900,2023,5000,632.0,90.6,292,6.4,True,Grå,RWD
https://www.bilbasen.dk/brugt/bil/volvo/c40/recharge-extended-range-plus-5d/6125514,True,CUV,Volvo,C40,409900,2024,2000,579.0,79.0,252,7.3,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/skoda/enyaq/60-iv-sportline-5d/6157196,True,CUV,Skoda,ENYAQ,316558,2023,7200,389.0,58.3,179,8.9,True,Blå,RWD
